1,Al Ahli,72.0
2,Al Hilal,74.0
3,Al Ittihad,71.0
4,Al Wehda,68.0
5,Argentina,82.0
6,Atlético Nacional,71.0
7,Australia,73.0
8,Austria,77.0
9,BSC Young Boys,71.0
10,Belgium,85.0
11,Boca Juniors,76.0
12,Brazil,81.0
13,Bulgaria,67.0
14,CD Tondela,69.0
15,Cameroon,75.0
16,Canada,70.0
17,Central Coast Mariners,63.0
18,Chile,77.0
19,Club América,74.0
20,Club Atlas,70.0
21,Club Atlético Banfield,69.0
22,Club Atlético Talleres,70.0
23,Club León,71.0
24,Club Necaxa,68.0
25,Club Tijuana,71.0
26,Colo-Colo,71.0
27,Colombia,79.0
28,Cruz Azul,72.0
29,Czech Republic,75.0
30,Côte d'Ivoire,75.0
31,Dalian YiFang FC,64.0
32,Denmark,78.0
33,Deportes Tolima,69.0
34,Ecuador,72.0
35,Egypt,73.0
36,England,82.0
37,FC Admira Wacker Mödling,65.0
38,FC Basel 1893,73.0
39,FC Lugano,66.0
40,FC Porto,81.0
41,FC Red Bull Salzburg,73.0
42,FK Austria Wien,68.0
43,Finland,70.0
44,France,84.0
45,Germany,85.0
46,Grasshopper Club Zürich,68.0
47,Greece,75.0
48,Henan Jianye FC,64.0
49,Hungary,73.0
50,Iceland,72.0
51,Independiente,75.0
52,Independiente Santa Fe,70.0
53,Italy,83.0
54,Junior FC,72.0
55,Melbourne City FC,66.0
56,Melbourne Victory,67.0
57,Mexico,77.0
58,Millonarios FC,69.0
59,Monarcas Morelia,69.0
60,Monterrey,75.0
61,Nagoya Grampus,67.0
62,Netherlands,81.0
63,Neuchâtel Xamax,64.0
64,New Zealand,66.0
65,Newcastle Jets,64.0
66,Northern Ireland,71.0
67,Norway,75.0
68,Pachuca,72.0
69,Paraguay,73.0
70,Perth Glory,67.0
71,Peru,73.0
72,Poland,77.0
73,Portugal,82.0
74,Puebla FC,70.0
75,Querétaro,70.0
76,Racing Club,75.0
77,Republic of Ireland,74.0
78,River Plate,76.0
79,Romania,72.0
80,Russia,77.0
81,SK Rapid Wien,69.0
82,SL Benfica,79.0
83,Santos Laguna,72.0
84,Scotland,75.0
85,Slovenia,75.0
86,South Africa,71.0
87,Spain,85.0
88,Sporting CP,78.0
89,Sweden,76.0
90,Switzerland,77.0
91,Sydney FC,67.0
92,Tigres U.A.N.L.,75.0
93,Turkey,76.0
94,United States,74.0
95,Universidad de Chile,70.0
96,Urawa Red Diamonds,70.0
97,Uruguay,81.0
98,Venezuela,73.0
99,Vitória Guimarães,74.0
100,Vélez Sarsfield,71.0
101,Wales,75.0
102,Wellington Phoenix,65.0
103,Western Sydney Wanderers,65.0
