1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua & Barbuda
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,Barbados
13,Belarus
14,Belgium
15,Benin
16,Bermuda
17,Bolivia
18,Bosnia Herzegovina
19,Brazil
20,Bulgaria
21,Burkina Faso
22,Burundi
23,Cameroon
24,Canada
25,Cape Verde
26,Central African Rep.
27,Chad
28,Chile
29,China PR
30,Colombia
31,Comoros
32,Congo
33,Costa Rica
34,Croatia
35,Cuba
36,Curacao
37,Cyprus
38,Czech Republic
39,DR Congo
40,Denmark
41,Dominican Republic
42,Ecuador
43,Egypt
44,El Salvador
45,England
46,Equatorial Guinea
47,Eritrea
48,Estonia
49,Ethiopia
50,FYR Macedonia
51,Faroe Islands
52,Fiji
53,Finland
54,France
55,Gabon
56,Gambia
57,Georgia
58,Germany
59,Ghana
60,Greece
61,Grenada
62,Guam
63,Guatemala
64,Guinea
65,Guinea Bissau
66,Guyana
67,Haiti
68,Honduras
69,Hong Kong
70,Hungary
71,Iceland
72,India
73,Indonesia
74,Iran
75,Iraq
76,Israel
77,Italy
78,Ivory Coast
79,Jamaica
80,Japan
81,Jordan
82,Kazakhstan
83,Kenya
84,Korea DPR
85,Korea Republic
86,Kosovo
87,Kuwait
88,Latvia
89,Liberia
90,Libya
91,Liechtenstein
92,Lithuania
93,Luxembourg
94,Madagascar
95,Mali
96,Malta
97,Mauritania
98,Mexico
99,Moldova
100,Montenegro
101,Montserrat
102,Morocco
103,Mozambique
104,Namibia
105,Netherlands
106,New Caledonia
107,New Zealand
108,Nicaragua
109,Nigeria
110,Northern Ireland
111,Norway
112,Oman
113,Palestine
114,Panama
115,Papua New Guinea
116,Paraguay
117,Peru
118,Philippines
119,Poland
120,Portugal
121,Republic of Ireland
122,Romania
123,Russia
124,Rwanda
125,Saudi Arabia
126,Scotland
127,Senegal
128,Serbia
129,Sierra Leone
130,Slovakia
131,Slovenia
132,South Africa
133,South Sudan
134,Spain
135,St Kitts Nevis
136,St Lucia
137,Sudan
138,Suriname
139,Sweden
140,Switzerland
141,Syria
142,São Tomé & Príncipe
143,Tanzania
144,Thailand
145,Togo
146,Trinidad & Tobago
147,Tunisia
148,Turkey
149,Uganda
150,Ukraine
151,United Arab Emirates
152,United States
153,Uruguay
154,Uzbekistan
155,Venezuela
156,Vietnam
157,Wales
158,Yemen
159,Zambia
160,Zimbabwe
